GFN,FWE,FIA,FWI,USAGE,LANGUAGES
Alegreya:italic:500,3,4,3,?,greek+cyrillic-ext+latin+cyrillic+vietnamese+greek-ext+latin-ext
Alegreya:italic:700,4,4,3,header,greek+cyrillic-ext+latin+cyrillic+vietnamese+greek-ext+latin-ext
Alegreya:italic:800,4,4,3,?,greek+cyrillic-ext+latin+cyrillic+vietnamese+greek-ext+latin-ext
Alegreya:italic:900,5,4,3,header,greek+cyrillic-ext+latin+cyrillic+vietnamese+greek-ext+latin-ext
Alegreya:normal:400,3,1,3,header,greek+cyrillic-ext+latin+cyrillic+vietnamese+greek-ext+latin-ext
Alegreya:normal:500,3,1,3,?,greek+cyrillic-ext+latin+cyrillic+vietnamese+greek-ext+latin-ext
Alegreya:normal:700,4,1,3,header,greek+cyrillic-ext+latin+cyrillic+vietnamese+greek-ext+latin-ext
Alegreya:normal:800,4,1,3,?,greek+cyrillic-ext+latin+cyrillic+vietnamese+greek-ext+latin-ext
Alegreya:normal:900,5,1,3,header,greek+cyrillic-ext+latin+cyrillic+vietnamese+greek-ext+latin-ext
Alex Brush:normal:400,2,9,3,header,latin+latin-ext
Alfa Slab One:normal:400,7,1,4,header,latin+vietnamese+latin-ext
Alice:normal:400,3,1,4,body,cyrillic-ext+latin+cyrillic
Alike Angular:normal:400,3,1,3,body,latin
Alike:normal:400,3,1,3,header,latin
Allan:normal:400,3,5,2,header,latin+latin-ext
Allan:normal:700,5,6,2,header,latin+latin-ext
Allerta Stencil:normal:400,3,1,3,header,latin
Allerta:normal:400,3,1,3,header,latin
Allura:normal:400,2,7,3,header,latin+latin-ext
Almendra Display:normal:400,1,1,3,header,latin+latin-ext
Almendra SC:normal:400,3,1,3,header,latin
Almendra:italic:400,3,1,3,header,latin+latin-ext
Almendra:italic:700,4,1,3,header,latin+latin-ext
Almendra:normal:400,3,1,3,header,latin+latin-ext
Almendra:normal:700,4,1,3,header,latin+latin-ext
Amarante:normal:400,3,1,3,header,latin+latin-ext
Amaranth:italic:400,4,5,3,header,latin
Amaranth:italic:700,5,5,3,header,latin
Amaranth:normal:400,4,1,3,header,latin
Amaranth:normal:700,5,1,3,header,latin
Amatic SC:normal:400,2,1,1,header,latin+cyrillic+hebrew+vietnamese+latin-ext
Amatic SC:normal:700,3,1,1,header,latin+cyrillic+hebrew+vietnamese+latin-ext
Amethysta:normal:400,3,1,4,body,latin
Amiko:normal:400,3,1,4,body,latin+latin-ext+devanagari
Amiko:normal:600,3,1,4,body,latin+latin-ext+devanagari
Amiko:normal:700,4,1,4,body,latin+latin-ext+devanagari
Amiri:italic:400,3,5,3,body,latin+latin-ext+arabic
Amiri:italic:700,3,5,3,body,latin+latin-ext+arabic
Amiri:normal:400,3,1,4,body,latin+latin-ext+arabic
Amiri:normal:700,3,1,4,body,latin+latin-ext+arabic
Amita:normal:400,2,2,3,header,latin+latin-ext+devanagari
Amita:normal:700,3,2,3,header,latin+latin-ext+devanagari
Anaheim:normal:400,3,1,3,body,latin+latin-ext
Andada:normal:400,3,1,3,body,latin+latin-ext
Andika:normal:400,3,1,4,body,cyrillic-ext+latin+cyrillic+vietnamese+latin-ext
Angkor:normal:400,4,1,1,?,khmer
Annie Use Your Telescope:normal:400,2,1,2,header,latin
Anonymous Pro:italic:400,3,5,4,header,greek+latin+cyrillic+latin-ext
Anonymous Pro:italic:700,4,5,4,header,greek+latin+cyrillic+latin-ext
Anonymous Pro:normal:400,3,1,4,header,greek+latin+cyrillic+latin-ext
Anonymous Pro:normal:700,4,1,4,header,greek+latin+cyrillic+latin-ext
Antic Didone:normal:400,2,1,3,header,latin
Antic Slab:normal:400,2,1,4,header,latin
Antic:normal:400,2,1,3,body,latin
Anton:normal:400,7,1,2,body,latin+vietnamese+latin-ext
Arapey:italic:400,2,5,3,header,latin
Arapey:normal:400,2,1,3,body,latin
Arbutus Slab:normal:400,3,1,4,body,latin+latin-ext
Arbutus:normal:400,4,1,5,header,latin+latin-ext
Architects Daughter:normal:400,2,1,3,header,latin
Archivo Black:normal:400,6,1,4,header,latin+latin-ext
Archivo Narrow:italic:400,3,3,3,header,latin+latin-ext
Archivo Narrow:italic:500,4,4,3,?,latin+latin-ext
Archivo Narrow:italic:600,4,4,3,?,latin+latin-ext
Archivo Narrow:italic:700,5,3,3,header,latin+latin-ext
Archivo Narrow:normal:400,3,1,3,header,latin+latin-ext
Archivo Narrow:normal:500,4,1,3,?,latin+latin-ext
Archivo Narrow:normal:600,4,1,3,?,latin+latin-ext
Archivo Narrow:normal:700,5,1,3,header,latin+latin-ext
Archivo:italic:400,3,4,3,?,latin+vietnamese+latin-ext
Archivo:italic:500,4,5,4,?,latin+vietnamese+latin-ext
Archivo:italic:600,4,5,4,?,latin+vietnamese+latin-ext
Archivo:italic:700,4,5,4,?,latin+vietnamese+latin-ext
Archivo:normal:400,3,1,3,?,latin+vietnamese+latin-ext
Archivo:normal:500,4,1,3,?,latin+vietnamese+latin-ext
Archivo:normal:600,4,1,4,?,latin+vietnamese+latin-ext
Archivo:normal:700,4,1,4,?,latin+vietnamese+latin-ext
Aref Ruqaa:normal:400,3,1,3,header,latin+arabic
Aref Ruqaa:normal:700,3,1,4,header,latin+arabic
Arima Madurai:normal:100,1,1,3,body,latin+vietnamese+latin-ext+tamil
Arima Madurai:normal:200,2,1,3,body,latin+vietnamese+latin-ext+tamil
Arima Madurai:normal:300,2,1,3,body,latin+vietnamese+latin-ext+tamil
Arima Madurai:normal:400,3,1,3,body,latin+vietnamese+latin-ext+tamil
Arima Madurai:normal:500,3,1,3,body,latin+vietnamese+latin-ext+tamil
Arima Madurai:normal:700,3,1,3,body,latin+vietnamese+latin-ext+tamil
Arima Madurai:normal:800,3,1,3,body,latin+vietnamese+latin-ext+tamil
Arima Madurai:normal:900,4,1,3,body,latin+vietnamese+latin-ext+tamil
Arimo:italic:400,3,4,3,header,greek+cyrillic-ext+latin+cyrillic+hebrew+vietnamese+greek-ext+latin-ext
Arimo:italic:700,4,4,4,header,greek+cyrillic-ext+latin+cyrillic+hebrew+vietnamese+greek-ext+latin-ext
Arimo:normal:400,3,1,3,body,greek+cyrillic-ext+latin+cyrillic+hebrew+vietnamese+greek-ext+latin-ext
Arimo:normal:700,4,1,4,header,greek+cyrillic-ext+latin+cyrillic+hebrew+vietnamese+greek-ext+latin-ext
Arizonia:normal:400,2,9,3,header,latin+latin-ext
Armata:normal:400,3,1,3,body,latin+latin-ext
Arsenal:italic:400,2,4,3,?,cyrillic-ext+latin+cyrillic+vietnamese+latin-ext
Arsenal:italic:700,4,4,3,?,cyrillic-ext+latin+cyrillic+vietnamese+latin-ext
Arsenal:normal:400,2,1,3,?,cyrillic-ext+latin+cyrillic+vietnamese+latin-ext
Arsenal:normal:700,4,1,3,?,cyrillic-ext+latin+cyrillic+vietnamese+latin-ext
Artifika:normal:400,3,1,4,body,latin
Arvo:italic:400,4,5,4,header,latin
Arvo:italic:700,5,6,4,header,latin
Arvo:normal:400,3,1,4,body,latin
Arvo:normal:700,5,1,4,header,latin
Arya:normal:400,3,1,3,body,latin+latin-ext+devanagari
Arya:normal:700,4,1,3,body,latin+latin-ext+devanagari
Asap Condensed:italic:400,3,3,3,?,latin+vietnamese+latin-ext
Asap Condensed:italic:500,4,3,3,?,latin+vietnamese+latin-ext
Asap Condensed:italic:600,4,3,3,?,latin+vietnamese+latin-ext
Asap Condensed:italic:700,5,3,3,?,latin+vietnamese+latin-ext
Asap Condensed:normal:400,3,1,3,?,latin+vietnamese+latin-ext
Asap Condensed:normal:500,4,1,3,?,latin+vietnamese+latin-ext
Asap Condensed:normal:600,4,1,3,?,latin+vietnamese+latin-ext
Asap Condensed:normal:700,5,1,3,?,latin+vietnamese+latin-ext
Asap:italic:400,3,3,3,header,latin+vietnamese+latin-ext
Asap:italic:500,3,3,3,?,latin+vietnamese+latin-ext
Asap:italic:600,4,3,3,?,latin+vietnamese+latin-ext
